dataset,InfoTS,Rand_Init,Shift_CL,SimCLR,SimMTM,TS2Vec
ACSF1,83.0,78.0,93.0,86.0,86.0,86.0
Adiac,71.0997442455243,72.63427109974424,83.12020460358056,79.53964194373401,80.05115089514067,77.23785166240408
AllGestureWiimoteX,46.14285714285714,49.857142857142854,70.14285714285714,68.42857142857143,70.57142857142857,70.0
AllGestureWiimoteY,52.142857142857146,52.714285714285715,73.0,71.14285714285714,71.14285714285714,74.14285714285714
AllGestureWiimoteZ,50.57142857142857,47.0,74.42857142857143,71.42857142857143,68.42857142857143,67.42857142857143
ArrowHead,72.57142857142857,75.42857142857143,83.42857142857143,79.42857142857143,80.0,80.57142857142857
BME,82.66666666666667,65.33333333333333,98.0,94.0,92.0,98.0
Beef,60.0,60.0,66.66666666666666,60.0,63.33333333333333,73.33333333333333
BeetleFly,75.0,80.0,95.0,80.0,80.0,90.0
BirdChicken,75.0,80.0,90.0,100.0,90.0,100.0
CBF,96.66666666666667,89.11111111111111,99.0,98.88888888888889,99.55555555555556,99.0
Car,61.66666666666667,55.00000000000001,83.33333333333334,80.0,80.0,73.33333333333333
Chinatown,94.75218658892129,95.04373177842565,96.20991253644316,97.667638483965,95.33527696793003,97.37609329446065
ChlorineConcentration,58.59375,57.49999999999999,64.79166666666667,66.015625,65.88541666666666,67.265625
CinCECGTorso,53.47826086956522,47.46376811594203,72.68115942028986,58.405797101449274,58.18840579710145,58.768115942028984
Coffee,78.57142857142857,96.42857142857143,100.0,100.0,100.0,96.42857142857143
Computers,68.4,70.8,81.2,75.6,76.8,77.2
CricketX,64.61538461538461,64.61538461538461,73.33333333333333,72.3076923076923,74.87179487179488,73.07692307692307
CricketY,57.948717948717956,60.0,73.07692307692307,72.05128205128204,71.7948717948718,69.23076923076923
CricketZ,65.12820512820512,65.64102564102564,78.71794871794872,76.41025641025641,77.17948717948718,75.38461538461539
Crop,60.63095238095239,60.89285714285714,72.38690476190476,72.96428571428571,73.00595238095238,72.46428571428571
DiatomSizeReduction,84.31372549019608,84.640522875817,86.9281045751634,88.23529411764706,86.27450980392157,86.9281045751634
DistalPhalanxOutlineAgeGroup,73.38129496402878,70.50359712230215,72.66187050359713,72.66187050359713,72.66187050359713,75.53956834532374
DistalPhalanxOutlineCorrect,76.44927536231883,77.53623188405797,77.89855072463769,76.81159420289855,77.53623188405797,77.89855072463769
DistalPhalanxTW,68.34532374100719,65.46762589928058,67.62589928057554,66.18705035971223,67.62589928057554,66.90647482014388
ECG200,85.0,81.0,87.0,89.0,90.0,91.0
ECG5000,93.42222222222222,93.55555555555556,93.55555555555556,94.0,93.77777777777779,93.62222222222222
ECGFiveDays,85.94657375145181,87.45644599303137,100.0,98.14169570267131,87.8048780487805,98.95470383275261
EOGHorizontalSignal,46.408839779005525,51.93370165745856,57.4585635359116,50.82872928176796,54.69613259668509,51.38121546961326
EOGVerticalSignal,39.50276243093923,42.81767955801105,39.77900552486188,37.29281767955801,41.16022099447514,37.29281767955801
Earthquakes,76.97841726618705,74.82014388489209,75.53956834532374,74.10071942446042,74.10071942446042,78.41726618705036
ElectricDevices,67.76034236804564,67.60472052911425,66.42458825055117,66.41161976397353,66.61911554921541,66.78770587472442
EthanolLevel,52.6,50.6,52.800000000000004,54.6,60.0,61.0
FaceAll,83.84615384615385,89.64497041420118,90.76923076923077,88.40236686390533,91.06508875739645,90.11834319526628
FaceFour,80.68181818181817,82.95454545454545,94.31818181818183,87.5,89.77272727272727,95.45454545454545
FacesUCR,84.4390243902439,80.87804878048782,92.53658536585367,90.2439024390244,91.17073170731707,92.53658536585367
FiftyWords,50.32967032967033,49.01098901098901,73.4065934065934,75.6043956043956,74.28571428571429,75.16483516483517
Fish,78.28571428571428,81.14285714285714,96.57142857142857,94.28571428571428,97.14285714285714,94.85714285714286
FordA,93.48484848484848,92.95454545454545,93.86363636363636,94.24242424242424,93.03030303030303,93.18181818181817
FordB,81.72839506172839,80.8641975308642,77.77777777777779,79.01234567901234,80.0,79.01234567901234
FreezerRegularTrain,93.57894736842105,91.57894736842105,98.66666666666667,98.3157894736842,98.24561403508771,97.64912280701753
FreezerSmallTrain,77.54385964912281,82.45614035087719,75.78947368421053,84.42105263157896,75.47368421052632,83.08771929824562
Fungi,73.11827956989248,73.11827956989248,97.31182795698925,90.86021505376344,91.39784946236558,91.39784946236558
