dataset,InfoTS,Rand_Init,Shift_CL,SimCLR,SimMTM,TS2Vec
ArticularyWordRecognition,95.66666666666667,96.33333333333334,98.33333333333333,97.33333333333334,96.66666666666667,97.0
AtrialFibrillation,26.666666666666668,26.666666666666668,33.33333333333333,26.666666666666668,26.666666666666668,26.666666666666668
BasicMotions,100.0,100.0,100.0,100.0,100.0,100.0
CharacterTrajectories,97.98050139275766,97.98050139275766,99.44289693593315,99.3732590529248,99.23398328690809,99.30362116991644
Cricket,98.61111111111111,98.61111111111111,98.61111111111111,97.22222222222221,95.83333333333334,97.22222222222221
DuckDuckGeese,57.99999999999999,60.0,60.0,54.0,50.0,54.0
ERing,72.5925925925926,80.37037037037037,88.88888888888889,89.62962962962962,88.88888888888889,91.48148148148148
Epilepsy,92.02898550724638,93.47826086956522,94.92753623188406,96.37681159420289,94.20289855072464,93.47826086956522
EthanolConcentration,31.1787072243346,30.798479087452474,22.0532319391635,26.23574144486692,23.954372623574145,28.517110266159694
FaceDetection,52.27014755959137,52.667423382519864,53.51872871736663,55.022701475595916,52.01475595913735,52.383654937570945
FingerMovements,46.0,56.00000000000001,56.99999999999999,59.0,62.0,56.00000000000001
HandMovementDirection,43.24324324324324,35.13513513513514,29.72972972972973,25.675675675675674,29.72972972972973,33.78378378378378
Handwriting,36.0,38.70588235294118,47.17647058823529,51.05882352941177,46.470588235294116,50.588235294117645
Heartbeat,73.17073170731707,74.14634146341463,71.70731707317073,72.6829268292683,71.70731707317073,72.6829268292683
JapaneseVowels,97.56756756756756,96.48648648648648,97.56756756756756,97.2972972972973,97.56756756756756,96.75675675675676
LSST,51.41930251419302,50.48661800486618,51.338199513382,51.29764801297648,51.62206001622061,50.121654501216554
Libras,58.333333333333336,60.55555555555555,88.33333333333333,76.66666666666667,82.22222222222221,85.0
MotorImagery,54.0,54.0,55.00000000000001,48.0,51.0,61.0
NATOPS,82.77777777777777,83.88888888888889,92.77777777777779,89.44444444444444,88.33333333333333,88.33333333333333
PEMS-SF,78.61271676300578,77.45664739884393,71.09826589595376,72.83236994219652,73.41040462427746,73.41040462427746
PenDigits,96.85534591194968,97.02687249857061,96.91252144082333,97.62721555174384,97.88450543167524,97.77015437392797
PhonemeSpectra,19.68386519534745,19.325976737250226,25.678496868475992,25.260960334029225,24.66447957053385,24.545183417834775
RacketSports,81.57894736842105,83.55263157894737,81.57894736842105,81.57894736842105,82.89473684210526,81.57894736842105
SelfRegulationSCP1,84.30034129692832,86.00682593856655,84.98293515358361,85.32423208191126,87.03071672354949,84.30034129692832
SelfRegulationSCP2,53.888888888888886,48.888888888888886,46.666666666666664,50.55555555555556,48.333333333333336,46.666666666666664
SpokenArabicDigits,93.7244201909959,93.3606184629377,97.13506139154161,97.13506139154161,97.5443383356071,97.45338790359254
StandWalkJump,13.333333333333334,33.33333333333333,40.0,26.666666666666668,46.666666666666664,33.33333333333333
UWaveGestureLibrary,58.4375,58.4375,83.4375,81.875,81.5625,81.25
